Symbol,Name,Last Sale,Net Change,% Change,Market Cap (B),Country,IPO Year,Volume,Sector,Industry
UFPI,UFP Industries Inc. Common Stock,$115.67,-0.79,-0.678%,7.024021885,United States,1993.0,223820,Basic Materials,Forest Products
AMWD,American Woodmark Corporation Common Stock,$77.01,0.48,0.627%,1.159321863,United States,1986.0,168642,Basic Materials,Forest Products
IPX,IperionX Limited American Depositary Share,$26.52,0.12,0.455%,0.682213104,United States,,50560,Basic Materials,Other Metals and Minerals
EU,enCore Energy Corp. Common Shares,$2.91,0.06,2.105%,0.541517878,United States,,1091464,Basic Materials,Other Metals and Minerals
USGO,U.S. GoldMining Inc. Common stock,$12.59,1.78,16.466%,0.156677615,United States,2023.0,225247,Basic Materials,Precious Metals
USAU,U.S. Gold Corp. Common Stock,$9.11,0.2,2.245%,0.112263587,United States,,307423,Basic Materials,Metal Mining
NB,NioCorp Developments Ltd. Common Stock,$2.61,-0.01,-0.382%,0.0988929,United States,,265655,Basic Materials,Metal Mining
ABAT,American Battery Technology Company Common Stock,$1.22,-0.06,-4.688%,0.090916436,United States,,2354974,Basic Materials,Metal Mining
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$2.61,0.02,0.772%,0.064607134,United States,2018.0,248033,Basic Materials,Precious Metals
USGOW,U.S. GoldMining Inc. Warrant,$1.875,0.145,8.382%,0.02333364,United States,2023.0,48397,Basic Materials,Precious Metals
NIOBW,NioCorp Developments Ltd. Warrant,$0.1775,-0.0068,-3.69%,0.006725475,United States,,19093,Basic Materials,Metal Mining
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.0188,-0.0001,-0.529%,0.000465369,United States,,28610,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.011,0.002,22.222%,0.000272291,United States,2018.0,35257,Basic Materials,Precious Metals
AMZN,Amazon.com Inc. Common Stock,$232.76,-0.38,-0.163%,2466.727483972,United States,1997.0,23673960,Consumer Discretionary,Catalog/Specialty Distribution
TSLA,Tesla Inc. Common Stock,$328.50,-22.23,-6.338%,1056.625846655,United States,2010.0,118024477,Consumer Discretionary,Auto Manufacturing
COST,Costco Wholesale Corporation Common Stock,$1058.34,-3.58,-0.337%,469.795930076,United States,,1747781,Consumer Discretionary,Department/Specialty Retail Stores
NFLX,Netflix Inc. Common Stock,$1008.08,-19.52,-1.90%,431.213377368,United States,2002.0,3320799,Consumer Discretionary,Consumer Electronics/Video Chains
BKNG,Booking Holdings Inc. Common Stock,$4897.32,-16.16,-0.329%,162.085194509,United States,,177354,Consumer Discretionary,Transportation Services
SBUX,Starbucks Corporation Common Stock,$111.03,-0.42,-0.377%,126.118977,United States,1992.0,4683108,Consumer Discretionary,Restaurants
CTAS,Cintas Corporation Common Stock,$205.40,1.43,0.701%,82.887923633,United States,1983.0,1093088,Consumer Discretionary,Apparel
DASH,DoorDash Inc. Class A Common Stock,$193.09,0.46,0.239%,80.208859789,United States,,6717120,Consumer Discretionary,Business Services
MAR,Marriott International Class A Common Stock,$288.00,-16.45,-5.403%,80.033308416,United States,,3055510,Consumer Discretionary,Hotels/Resorts
ORLY,O'Reilly Automotive Inc. Common Stock,$1323.94,13.92,1.063%,76.43197369,United States,1993.0,391450,Consumer Discretionary,Auto & Home Supply Stores
PYPL,PayPal Holdings Inc. Common Stock,$76.21,-2.03,-2.595%,75.390167267,United States,,15755182,Consumer Discretionary,Business Services
CPRT,Copart Inc. (DE) Common Stock,$59.23,0.6,1.023%,57.06978725,United States,1994.0,3112781,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
PCAR,PACCAR Inc. Common Stock,$106.09,-0.02,-0.019%,55.623045774,United States,,1203672,Consumer Discretionary,Auto Manufacturing
PAYX,Paychex Inc. Common Stock,$146.10,-0.91,-0.619%,52.605215111,United States,1983.0,1404130,Consumer Discretionary,Diversified Commercial Services
ROST,Ross Stores Inc. Common Stock,$141.27,-0.86,-0.605%,46.60909766,United States,1985.0,2704129,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GSAT,Globalstar Inc. Common Stock,$24.33,0.9298,3.973%,46.041444335,United States,2006.0,1581105,Consumer Discretionary,Telecommunications Equipment
FAST,Fastenal Company Common Stock,$74.33,0.61,0.827%,42.622286598,United States,1987.0,1480183,Consumer Discretionary,RETAIL: Building Materials
UAL,United Airlines Holdings Inc. Common Stock,$103.31,-2.77,-2.611%,33.976169229,United States,,7283085,Consumer Discretionary,Air Freight/Delivery Services
EBAY,eBay Inc. Common Stock,$68.46,0.2,0.293%,32.79234,United States,1998.0,3615487,Consumer Discretionary,Business Services
CSGP,CoStar Group Inc. Common Stock,$76.00,-0.97,-1.26%,31.156923292,United States,1998.0,1975335,Consumer Discretionary,Business Services
PEP,PepsiCo Inc. Common Stock,$145.64,1.29,0.894%,199.745236406,United States,,6352770,Consumer Staples,Beverages (Production/Distribution)
MDLZ,Mondelez International Inc. Class A Common Stock,$60.45,1.92,3.28%,78.193596345,United States,,12174666,Consumer Staples,Packaged Foods
MNST,Monster Beverage Corporation,$48.06,0.25,0.523%,46.739294812,United States,,3141095,Consumer Staples,Beverages (Production/Distribution)
KDP,Keurig Dr Pepper Inc. Common Stock,$31.56,0.66,2.136%,42.809677162,United States,,7698746,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$29.58,0.62,2.141%,35.767393365,United States,,9258873,Consumer Staples,Packaged Foods
SFM,Sprouts Farmers Market Inc. Common Stock,$166.13,-2.77,-1.64%,16.611553672,United States,2013.0,1260940,Consumer Staples,Food Chains
PPC,Pilgrim's Pride Corporation Common Stock,$52.55,1.05,2.039%,12.460816856,United States,,1711924,Consumer Staples,Meat/Poultry/Fish
COKE,Coca-Cola Consolidated Inc. Common Stock,$1415.40,12.98,0.926%,12.399865057,United States,1972.0,33036,Consumer Staples,Beverages (Production/Distribution)
CPB,The Campbell's Company Common Stock,$37.95,0.56,1.498%,11.31324581,United States,,2385164,Consumer Staples,Packaged Foods
SFD,Smithfield Foods Inc. Common Stock,$21.26,0.0,0.00%,8.450195872,United States,2025.0,594473,Consumer Staples,Meat/Poultry/Fish
WBA,Walgreens Boots Alliance Inc. Common Stock,$9.36,-0.61,-6.118%,8.08847646,United States,,22869302,Consumer Staples,Retail-Drug Stores and Proprietary Stores
FRPT,Freshpet Inc. Common Stock,$130.75,0.4,0.307%,6.346183854,United States,2014.0,1919910,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$113.98,4.57,4.177%,5.589019216,United States,1996.0,725815,Consumer Staples,Farming/Seeds/Milling
LANC,Lancaster Colony Corporation Common Stock,$190.67,4.09,2.192%,5.25715324,United States,,117785,Consumer Staples,Packaged Foods
CELH,Celsius Holdings Inc. Common Stock,$22.04,0.36,1.661%,5.180093202,United States,,5364986,Consumer Staples,Beverages (Production/Distribution)
FIZZ,National Beverage Corp. Common Stock,$39.87,-0.39,-0.969%,3.732415936,United States,,144885,Consumer Staples,Beverages (Production/Distribution)
JJSF,J & J Snack Foods Corp. Common Stock,$127.07,1.98,1.583%,2.476626576,United States,1986.0,120435,Consumer Staples,Specialty Foods
COCO,The Vita Coco Company Inc. Common Stock,$39.42,0.04,0.102%,2.236373035,United States,2021.0,813920,Consumer Staples,Beverages (Production/Distribution)
GO,Grocery Outlet Holding Corp. Common Stock,$16.90,-0.47,-2.706%,1.641604569,United States,2019.0,2141853,Consumer Staples,Food Chains
SONO,Sonos Inc. Common Stock,$13.23,-0.57,-4.13%,1.575463631,United States,2018.0,2811412,Consumer Staples,Consumer Electronics/Appliances
FANG,Diamondback Energy Inc. Common Stock,$162.01,0.35,0.217%,47.30516932,United States,2012.0,1722304,Energy,Oil & Gas Production
EXE,Expand Energy Corporation Common Stock,$105.785,0.665,0.633%,24.440015366,United States,,2620411,Energy,Oil & Gas Production
EXEEW,Expand Energy Corporation Class A Warrants,$99.10,0.0,0.00%,22.895547788,United States,,1,Energy,Oil & Gas Production
EXEEZ,Expand Energy Corporation Class B Warrants,$97.16,1.02,1.061%,22.447340294,United States,,7507,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,$93.00,0.71,0.769%,21.486235563,United States,,284,Energy,Oil & Gas Production
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$19.72,-0.03,-0.152%,13.876353843,United States,1998.0,2483496,Energy,Natural Gas Distribution
WWD,Woodward Inc. Common Stock,$193.27,0.18,0.093%,11.472484587,United States,,362678,Energy,Industrial Machinery/Components
VNOM,Viper Energy Inc. Class A Common Stock,$51.14,0.54,1.067%,9.635215548,United States,2014.0,1377097,Energy,Oil & Gas Production
APA,APA Corporation Common Stock,$23.31,0.32,1.392%,8.623475129,United States,,6491045,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$114.41,1.24,1.096%,6.99393753,United States,,746247,Energy,Oil & Gas Production
LFUS,Littelfuse Inc. Common Stock,$239.72,5.0,2.13%,5.948576768,United States,,194030,Energy,Electrical Products
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,$20.93,-0.12,-0.57%,4.13295708,United States,,1397395,Energy,Natural Gas Distribution
PTEN,Patterson-UTI Energy Inc. Common Stock,$9.23,0.25,2.784%,3.599298061,United States,1993.0,12145960,Energy,Oil & Gas Production
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$26.46,0.08,0.303%,3.388520017,United States,1999.0,316649,Energy,Coal Mining
MGEE,MGE Energy Inc,$90.06,0.48,0.536%,3.260850062,United States,,112730,Energy,Electric Utilities: Central
POWL,Powell Industries Inc. Common Stock,$210.25,-9.64,-4.384%,2.536608011,United States,,588577,Energy,Electrical Products
HPK,HighPeak Energy Inc. Common Stock,$14.91,0.59,4.12%,1.887982045,United States,,272317,Energy,Oil & Gas Production
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$32.025,0.065,0.203%,1.516055686,United States,,166631,Energy,Oil & Gas Production
PLUG,Plug Power Inc. Common Stock,$1.62,-0.1,-5.814%,1.476139036,United States,1999.0,52404363,Energy,Industrial Machinery/Components
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,$25.71,0.0,0.00%,1.371401506,United States,,1716,Energy,Coal Mining
CME,CME Group Inc. Class A Common Stock,$241.74,-0.07,-0.029%,87.11395847,United States,2002.0,1358997,Finance,Investment Bankers/Brokers/Service
ABNB,Airbnb Inc. Class A Common Stock,$134.52,-0.72,-0.532%,85.281865013,United States,2020.0,4041294,Finance,Diversified Commercial Services
COIN,Coinbase Global Inc. Class A Common Stock,$266.90,-13.32,-4.753%,66.818533237,United States,,6875851,Finance,Finance: Consumer Services
HOOD,Robinhood Markets Inc. Class A Common Stock,$53.34,-2.93,-5.207%,47.151263251,United States,2021.0,24062718,Finance,Investment Bankers/Brokers/Service
NDAQ,Nasdaq Inc. Common Stock,$80.29,-0.92,-1.133%,46.147288025,United States,,2497954,Finance,Investment Bankers/Brokers/Service
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.44,-0.03,-0.118%,36.959521812,United States,,22198,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,$22.62,0.01,0.044%,32.862593687,United States,,16297,Finance,Major Banks
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$2155.94,1.37,0.064%,30.16051185,United States,,49184,Finance,Major Banks
FITB,Fifth Third Bancorp Common Stock,$44.00,0.67,1.546%,29.503905728,United States,,3676147,Finance,Major Banks
LPLA,LPL Financial Holdings Inc. Common Stock,$362.42,-3.68,-1.005%,27.137857021,United States,2010.0,880973,Finance,Investment Bankers/Brokers/Service
